日付,通貨名,始値,高値,安値,終値,平均値
2018/04/20,btc_jpy,883625.00000000,918000.00000000,881000.00000000,914705.00000000,898412.16551907
2018/04/21,btc_jpy,914800.00000000,974670.00000000,910855.00000000,945610.00000000,945933.63669712
2018/04/22,btc_jpy,945610.00000000,969000.00000000,940000.00000000,964175.00000000,955956.12695046
2018/04/23,btc_jpy,964275.00000000,971000.00000000,946000.00000000,966500.00000000,961111.97332031
2018/04/24,btc_jpy,966500.00000000,1038000.00000000,962250.00000000,1022990.00000000,999511.38718971
2018/04/25,btc_jpy,1023000.00000000,1070300.00000000,850800.00000000,850800.00000000,1025654.87526042
2018/04/26,btc_jpy,840995.00000000,1013385.00000000,650000.00000000,964000.00000000,964993.32189529
2018/04/27,btc_jpy,963845.00000000,1025000.00000000,955000.00000000,1009660.00000000,999224.04741885
2018/04/28,btc_jpy,1009555.00000000,1022000.00000000,969200.00000000,1011200.00000000,999097.82611092
2018/04/29,btc_jpy,1011050.00000000,1021300.00000000,999000.00000000,1009395.00000000,1011908.98875476
2018/04/30,btc_jpy,1009395.00000000,1021500.00000000,1000000.00000000,1011840.00000000,1013409.88536105
2018/05/01,btc_jpy,1011295.00000000,1018990.00000000,975000.00000000,981380.00000000,995092.02128635
2018/05/02,btc_jpy,981640.00000000,1008400.00000000,978900.00000000,998585.00000000,994867.94472167
2018/05/03,btc_jpy,998570.00000000,1028000.00000000,994715.00000000,1023620.00000000,1009257.56236242
2018/05/04,btc_jpy,1023645.00000000,1065900.00000000,1021500.00000000,1055645.00000000,1049771.49431557
2018/05/05,btc_jpy,1055645.00000000,1082500.00000000,1048200.00000000,1078600.00000000,1064814.67344605
2018/05/06,btc_jpy,1078405.00000000,1081400.00000000,1030500.00000000,1043500.00000000,1061216.95953249
2018/05/07,btc_jpy,1043650.00000000,1054900.00000000,1002500.00000000,1014500.00000000,1025226.67719109
2018/05/08,btc_jpy,1014285.00000000,1031500.00000000,985000.00000000,992425.00000000,1012446.65846878
2018/05/09,btc_jpy,992430.00000000,1018000.00000000,980005.00000000,1017000.00000000,998944.05782347
2018/05/10,btc_jpy,1017190.00000000,1022000.00000000,997000.00000000,1011165.00000000,1013767.45381265
2018/05/11,btc_jpy,1011205.00000000,1015500.00000000,910005.00000000,939875.00000000,967781.93475315
2018/05/12,btc_jpy,940000.00000000,952000.00000000,888000.00000000,931325.00000000,923412.79824452
2018/05/13,btc_jpy,931500.00000000,948900.00000000,906000.00000000,948585.00000000,926468.87847746
2018/05/14,btc_jpy,948585.00000000,965000.00000000,917000.00000000,958000.00000000,941775.10783553
2018/05/15,btc_jpy,958320.00000000,976500.00000000,942400.00000000,942600.00000000,959773.66343875
2018/05/16,btc_jpy,942695.00000000,949500.00000000,901000.00000000,911510.00000000,926578.94136177
2018/05/17,btc_jpy,911510.00000000,933000.00000000,909295.00000000,921075.00000000,920144.19231759
2018/05/18,btc_jpy,920960.00000000,921680.00000000,881780.00000000,897125.00000000,900481.92932586
2018/05/19,btc_jpy,897205.00000000,927000.00000000,895525.00000000,921870.00000000,913009.66980542
2018/05/20,btc_jpy,921865.00000000,926995.00000000,908120.00000000,924480.00000000,918500.86626289
2018/05/21,btc_jpy,924475.00000000,949800.00000000,923270.00000000,937500.00000000,942190.73034550
2018/05/22,btc_jpy,937500.00000000,938900.00000000,907000.00000000,916075.00000000,924566.86906629
2018/05/23,btc_jpy,916080.00000000,918655.00000000,867100.00000000,873880.00000000,887934.80249923
2018/05/24,btc_jpy,874000.00000000,876250.00000000,810000.00000000,827100.00000000,839712.19677262
2018/05/25,btc_jpy,827110.00000000,846000.00000000,811005.00000000,823845.00000000,829867.88182520
2018/05/26,btc_jpy,823780.00000000,837000.00000000,813600.00000000,828050.00000000,823857.59163625
2018/05/27,btc_jpy,827820.00000000,836500.00000000,798570.00000000,809995.00000000,812111.09531154
2018/05/28,btc_jpy,809800.00000000,820000.00000000,793930.00000000,799800.00000000,806402.19068858
2018/05/29,btc_jpy,799625.00000000,828800.00000000,772000.00000000,816000.00000000,792539.94535480
2018/05/30,btc_jpy,816000.00000000,825080.00000000,805000.00000000,805715.00000000,817470.97201241
2018/05/31,btc_jpy,805065.00000000,830000.00000000,797800.00000000,821745.00000000,812762.10355032
2018/06/01,btc_jpy,821745.00000000,831500.00000000,809645.00000000,817125.00000000,820420.12441715
2018/06/02,btc_jpy,817125.00000000,838880.00000000,812010.00000000,831570.00000000,826073.71817724
2018/06/03,btc_jpy,831570.00000000,847995.00000000,826500.00000000,844520.00000000,836572.61973417
2018/06/04,btc_jpy,844525.00000000,850000.00000000,818515.00000000,821785.00000000,839034.08136742
2018/06/05,btc_jpy,821785.00000000,831790.00000000,810500.00000000,818885.00000000,821359.28059189
