日付,通貨名,始値,高値,安値,終値,平均値
2018/04/18,eth_jpy,55550.00000000,55700.00000000,53700.00000000,55260.00000000,54701.08554303
2018/04/19,eth_jpy,55260.00000000,58900.00000000,54560.00000000,58685.00000000,57267.85575839
2018/04/20,eth_jpy,58695.00000000,64395.00000000,58310.00000000,63795.00000000,61812.00869082
2018/04/21,eth_jpy,63600.00000000,67610.00000000,62000.00000000,64335.00000000,65128.95490262
2018/04/22,eth_jpy,64580.00000000,68900.00000000,64000.00000000,68750.00000000,66183.62667588
2018/04/23,eth_jpy,68900.00000000,70800.00000000,67000.00000000,70255.00000000,69113.96158354
2018/04/24,eth_jpy,70400.00000000,78990.00000000,69230.00000000,77785.00000000,74183.18409652
2018/04/25,eth_jpy,77500.00000000,79000.00000000,66005.00000000,66015.00000000,73283.26208700
2018/04/26,eth_jpy,66015.00000000,72430.00000000,65400.00000000,69000.00000000,68573.62358973
2018/04/27,eth_jpy,69195.00000000,74965.00000000,68040.00000000,74200.00000000,72099.49171856
2018/04/28,eth_jpy,74200.00000000,74950.00000000,70200.00000000,74360.00000000,73101.04346017
2018/04/29,eth_jpy,74010.00000000,74900.00000000,73000.00000000,74160.00000000,74019.14812932
2018/04/30,eth_jpy,74160.00000000,75895.00000000,73360.00000000,74570.00000000,74614.61083308
2018/05/01,eth_jpy,74530.00000000,74800.00000000,69900.00000000,71540.00000000,72237.67419182
2018/05/02,eth_jpy,71400.00000000,75300.00000000,71000.00000000,74300.00000000,74095.51194126
2018/05/03,eth_jpy,74310.00000000,82000.00000000,73850.00000000,80670.00000000,78545.20557109
2018/05/04,eth_jpy,80890.00000000,87850.00000000,80500.00000000,86895.00000000,85022.92560745
2018/05/05,eth_jpy,86855.00000000,90400.00000000,84110.00000000,89750.00000000,87688.32508917
2018/05/06,eth_jpy,89710.00000000,91500.00000000,82800.00000000,84905.00000000,87281.56388816
2018/05/07,eth_jpy,84900.00000000,87005.00000000,77000.00000000,78900.00000000,81597.15784016
2018/05/08,eth_jpy,78990.00000000,84110.00000000,78010.00000000,79860.00000000,81421.26689098
2018/05/09,eth_jpy,79865.00000000,82530.00000000,77960.00000000,81400.00000000,80132.25512268
2018/05/10,eth_jpy,81875.00000000,83700.00000000,81280.00000000,82700.00000000,82432.46551377
2018/05/11,eth_jpy,82820.00000000,82985.00000000,72500.00000000,75500.00000000,77361.16644769
2018/05/12,eth_jpy,75800.00000000,76005.00000000,70110.00000000,74000.00000000,73388.75066240
2018/05/13,eth_jpy,74430.00000000,79880.00000000,72000.00000000,79790.00000000,75311.33326451
2018/05/14,eth_jpy,79490.00000000,81800.00000000,75640.00000000,79300.00000000,78600.58014838
2018/05/15,eth_jpy,79300.00000000,81000.00000000,78555.00000000,78800.00000000,80153.22134355
2018/05/16,eth_jpy,78725.00000000,80000.00000000,75000.00000000,76705.00000000,77274.39138199
2018/05/17,eth_jpy,77450.00000000,79500.00000000,76000.00000000,78125.00000000,78178.01624004
2018/05/18,eth_jpy,78140.00000000,78490.00000000,72630.00000000,74895.00000000,75326.76294877
2018/05/19,eth_jpy,74990.00000000,79250.00000000,74120.00000000,78375.00000000,77170.47629340
2018/05/20,eth_jpy,78300.00000000,79500.00000000,76460.00000000,78995.00000000,78091.17900544
2018/05/21,eth_jpy,79000.00000000,80250.00000000,77700.00000000,78350.00000000,79262.31128620
2018/05/22,eth_jpy,78345.00000000,78650.00000000,75550.00000000,75770.00000000,76895.70652768
2018/05/23,eth_jpy,75770.00000000,76380.00000000,68000.00000000,68555.00000000,71217.77439126
2018/05/24,eth_jpy,68560.00000000,69000.00000000,61280.00000000,64780.00000000,65095.88190832
2018/05/25,eth_jpy,64275.00000000,67900.00000000,64245.00000000,66065.00000000,65930.86524364
2018/05/26,eth_jpy,66050.00000000,66800.00000000,63565.00000000,66485.00000000,65143.47257099
2018/05/27,eth_jpy,66500.00000000,67290.00000000,62560.00000000,63390.00000000,64515.76789074
2018/05/28,eth_jpy,63495.00000000,63810.00000000,58020.00000000,58800.00000000,60916.39389654
